,Zip Code,MHINC,TotalCases,Unnamed: 0,Pop2010
0,21201,48044.11111111111,447,0,16972
1,21202,53117.98888888889,813,1,22832
2,21205,38678.15714285714,668,2,16146
3,21206,53439.02857142857,1969,3,50846
4,21207,47495.61666666667,1729,4,48133
5,21208,49056.35,1384,5,33917
6,21209,64002.13333333334,746,6,26465
7,21210,82454.58,110,7,14292
8,21211,56940.450000000004,269,8,17351
9,21212,73300.95999999999,806,9,32322
10,21213,38321.399999999994,1089,10,32733
11,21214,59342.81999999999,593,11,20564
12,21215,47794.718181818185,2207,12,60161
13,21216,39209.887500000004,893,13,32071
14,21217,37689.8625,879,14,37111
15,21218,52487.73636363636,1244,15,49796
16,21222,36666.3,1990,16,55786
17,21223,38385.09,762,17,26366
18,21224,71251.37142857142,2563,18,49134
19,21225,32534.4,1032,19,33545
20,21226,39936.5,162,20,7561
21,21227,47486.950000000004,1136,21,33534
22,21228,58055.3,1596,22,47577
23,21229,46606.51111111111,1593,23,45213
24,21230,53844.21000000001,1242,24,33568
25,21231,69093.02857142857,498,25,15748
26,21234,54366.9,2022,26,69752
27,21236,56655.8,1042,27,38474
28,21237,49335.45,1184,28,30059
29,21239,52662.3,1044,29,28793
30,21251,62866.9,0,30,934
31,21287,19374.1,0,31,0
