,country,src_port,dest_port,count
0,United States,80,18935,1
1,United States,3065,80,6
2,United States,18934,80,1
3,United States,19638,80,1
4,United States,51231,53,3
5,United States,55002,53,4
6,United States,57112,53,1
7,United States,58181,53,2
8,United States,58917,53,2
9,United States,58984,53,1
10,United States,61042,53,2
11,United States,62661,53,2
12,United States,64191,53,1
13,Vietnam,52301,2121,4
14,Vietnam,54150,21,3
15,Vietnam,54971,23,3
16,Vietnam,56037,21,3
17,Vietnam,57411,23,3
18,China,1746,1433,1
19,China,1751,1433,1
20,China,1798,1433,1
21,China,9801,5501,5
22,China,9868,1433,1
23,China,20251,1433,1
24,China,22631,1433,1
25,China,26381,1433,1
26,China,44160,23,4
27,China,58291,5555,4
28,India,40375,23,3
29,India,49601,1433,2
30,India,53219,25459,1
31,India,53617,5432,2
32,India,58520,22,2
33,Russia,45044,5501,4
34,Russia,49904,3389,4
35,Russia,54726,5500,5
36,Russia,65530,3423,1
37,Russia,65530,3424,1
38,Russia,65530,3426,1
39,Russia,65530,3427,1
40,Russia,65530,3430,1
41,Russia,65530,3421,1
42,Russia,65530,3422,1
43,Russia,65530,3425,1
44,Russia,65530,3428,1
45,Russia,65530,3429,1
46,Canada,5061,5060,4
47,Canada,36899,22,2
48,Canada,40685,22,2
49,Canada,45115,30120,1
50,Canada,56843,3415,2
51,Philippines,30901,5900,1
52,Philippines,35005,5900,1
53,Philippines,41543,4326,1
54,Philippines,52102,5900,1
55,Philippines,56008,5900,1
56,Philippines,59540,3389,2
57,Philippines,59540,3389,1
58,Colombia,6762,23,2
59,Colombia,10614,23,2
60,Colombia,13159,23,1
61,Colombia,13180,23,1
62,Colombia,15432,23,2
63,Colombia,37097,23,3
64,Brazil,44979,23,3
65,Brazil,45657,23,3
66,Brazil,46696,23,3
67,Brazil,47348,23,3
68,Brazil,47713,23,3
69,Taiwan,33768,23,3
70,Taiwan,36663,23,3
71,Taiwan,40757,23,3
72,Taiwan,41203,23,3
73,Taiwan,44097,23,3
74,Taiwan,60973,23,3
